Date,Open,High,Low,Close,Volume,MarketValue,DividendYield,PriceToEarnings,EPS,PriceToCash,PriceToBook
18/08/2015,142.2928449,143.1074142,141.5211505,141.9069977,348027,92632.75,1.63,18.4,9,20.97,3.92
19/08/2015,141.0495446,141.5211415,139.0345459,139.0345459,480308,90757.69,1.67,18,9,20.54,3.85
20/08/2015,138.9059383,139.1631741,135.8191344,136.0763702,744471,88826.69,1.7,17.6,9,20.1,3.76
21/08/2015,134.2328792,136.8480863,132.2178802,132.2178802,842430,86308,1.75,17.1,9,19.53,3.66
24/08/2015,128.0164113,130.3315078,120.3851507,125.4869537,2068201,81914.19,1.84,16.3,9,18.54,3.47
25/08/2015,127.9306522,132.0892611,126.6016113,131.0174561,1589836,85524.38,1.77,17,9,19.36,3.62
26/08/2015,128.6165926,129.173926,125.8727746,127.2875519,1791845,83089.56,1.82,16.5,9,18.81,3.52
27/08/2015,131.0174561,131.4890529,128.5737352,131.0174561,1036305,85524.38,1.77,17,9,19.36,3.62
28/08/2015,131.2746919,131.4033033,129.3454427,131.0174561,579964,85524.38,1.77,17,9,19.36,3.62
31/08/2015,129.6455507,131.2318276,129.3454531,130.9317169,468714,85468.38,1.77,17,9,19.34,3.62
09/01/2015,128.3593621,128.9167086,126.5158628,128.4022369,833935,83817.25,1.8,16.6,9,18.97,3.55
09/02/2015,129.1310885,130.331505,127.5448116,129.1739502,582832,84320.94,1.79,16.7,9,19.09,3.57
09/03/2015,130.8888328,131.6605403,129.3025691,129.3883057,1146951,84460.88,1.79,16.8,9,19.12,3.58
09/04/2015,127.6734245,127.8449238,124.3293977,124.9724808,1583860,81578.38,1.85,16.2,9,18.46,3.46
09/07/2015,126.2586265,127.2875566,125.5297938,126.2157516,473524,82389.94,1.83,16.4,9,18.65,3.49
09/08/2015,127.1160736,128.102129,125.958519,125.958519,611912,82222.06,1.84,16.3,9,18.61,3.48
09/09/2015,128.7023803,129.4312,127.3733392,127.416214,684414,83173.56,1.82,16.5,9,18.83,3.52
09/10/2015,126.8588291,127.1589397,124.6723444,125.0582047,602970,81634.38,1.85,16.2,9,18.48,3.46
09/11/2015,125.6584446,125.8728056,123.8149318,124.5866394,707857,81326.5,1.86,16.1,9,18.41,3.45
14/09/2015,124.6723685,126.1728957,123.4290771,123.4290771,614370,80570.88,1.88,16,9,18.24,3.41
15/09/2015,123.8149041,126.3443743,123.5148065,125.8299026,763478,82138.06,1.84,16.3,9,18.59,3.48
16/09/2015,126.9017433,129.9456729,126.3872716,129.1311035,790799,84293,1.79,16.7,9,19.08,3.57
17/09/2015,129.6884016,129.9027626,128.530847,129.0453186,472916,84237,1.79,16.7,9,19.07,3.57
18/09/2015,128.2307484,128.6165956,125.1439449,125.8299026,1506497,82138.06,1.84,16.3,9,18.59,3.48
21/09/2015,126.0871426,129.1739331,126.0442678,128.7880859,620009,84069.13,1.8,16.7,9,19.03,3.56
22/09/2015,128.5737438,128.74523,124.4151476,124.8009949,580891,81466.44,1.86,16.2,9,18.44,3.45
23/09/2015,125.1439778,126.473019,124.0721726,124.7152557,746500,81410.44,1.86,16.2,9,18.43,3.45
24/09/2015,125.6584269,125.8727879,122.0571645,123.3861923,1125481,80542.88,1.88,16,9,18.23,3.41
